year,game week,away_continent,cnt,cnt_win,cnt_draw,cnt_lose,win_odds,lose_odds,win_rate,lose_rate,home_continent
2002,2.0,Europe,3,0,1,2,0.0,0.0,0.0,0.6666666666666666,South America
2006,3.0,Europe,2,0,1,1,0.0,0.0,0.0,0.5,South America
2006,4.0,Europe,3,0,1,2,0.0,0.0,0.0,0.6666666666666666,South America
2002,3.0,Africa,1,0,1,0,0.0,0.0,0.0,0.0,South America
2010,4.0,Africa,1,0,1,0,0.0,0.0,0.0,0.0,South America
2010,3.0,Oceania,1,0,1,0,0.0,0.0,0.0,0.0,South America
2010,1.0,Europe,2,0,2,0,0.0,0.0,0.0,0.0,South America
2002,2.0,North America,1,0,0,1,0.0,0.0,0.0,1.0,South America
2018,1.0,Europe,3,0,2,1,1.9833333333333334,7.5,0.0,0.3333333333333333,South America
2014,1.0,North America,1,0,0,1,0.0,0.0,0.0,1.0,South America
2018,1.0,Asia,1,0,0,1,1.87,5.25,0.0,1.0,South America
